dose,model,revision_rate,overcorrection_mean,n
0,claude-sonnet,0.3796875,1.0953125,640.0
0,gemini-flash,0.003125,1.0234375,640.0
0,gpt-4o,0.3140625,1.1421875,640.0
1,claude-sonnet-4,0.3802083333333333,1.1302083333333333,192.0
1,gemini-2.5-flash,0.1278538812785388,1.2191780821917808,219.0
1,gpt-4o,0.984375,1.4166666666666667,192.0
2,claude-sonnet-4,0.2708333333333333,1.1302083333333333,192.0
2,gemini-2.5-flash,0.0990990990990991,1.1756756756756757,222.0
2,gpt-4o,0.9947916666666666,1.6354166666666667,192.0
3,claude-sonnet-4,0.24479166666666666,1.1666666666666667,192.0
3,gemini-2.5-flash,0.08636363636363636,1.1818181818181819,220.0
3,gpt-4o,0.9739583333333334,1.671875,192.0
