model,probe_type,n,gate_decline_count,gate_decline_pct,gate_suggest_minor_count,gate_suggest_minor_pct,gate_full_revision_count,gate_full_revision_pct,revision_magnitude_mean,revision_magnitude_median,revision_magnitude_std,revision_value_mean,revision_value_median,revision_value_std,threshold_alignment_mean,threshold_alignment_median,threshold_alignment_std,overcorrection_mean,overcorrection_median,overcorrection_std,high_overcorrection_count,high_overcorrection_pct
claude-sonnet,leading,400,0,0.0,107,26.8,293,73.2,3.41,4.0,0.92,3.34,3.0,0.59,4.15,4.0,0.8,1.82,2.0,0.76,4,1.0
claude-sonnet,neutral,17,17,100.0,0,0.0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,1.0,0.0,0,0.0
claude-sonnet,pilot_a,6,0,0.0,6,100.0,0,0.0,2.0,2.0,0.0,2.17,2.0,0.41,5.0,5.0,0.0,1.0,1.0,0.0,0,0.0
claude-sonnet,pilot_b,6,3,50.0,3,50.0,0,0.0,1.5,1.5,0.55,1.5,1.5,0.55,4.83,5.0,0.41,1.17,1.0,0.41,0,0.0
claude-sonnet,pilot_c,400,231,57.8,143,35.8,26,6.5,1.55,1.0,0.8,1.69,1.0,0.89,4.87,5.0,0.36,1.11,1.0,0.33,0,0.0
gemini-flash,leading,400,0,0.0,117,29.2,283,70.8,3.56,4.0,1.11,3.26,3.0,0.69,3.92,4.0,1.01,2.13,2.0,0.85,21,5.2
gemini-flash,neutral,16,15,93.8,1,6.2,0,0.0,1.06,1.0,0.25,1.06,1.0,0.25,4.12,5.0,1.36,1.38,1.0,0.72,0,0.0
gemini-flash,pilot_a,6,0,0.0,6,100.0,0,0.0,2.0,2.0,0.0,2.17,2.0,0.41,4.67,5.0,0.52,1.33,1.0,0.52,0,0.0
gemini-flash,pilot_b,6,6,100.0,0,0.0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,1.0,0.0,0,0.0
gemini-flash,pilot_c,400,399,99.8,1,0.2,0,0.0,1.0,1.0,0.05,1.0,1.0,0.05,4.94,5.0,0.42,1.03,1.0,0.23,0,0.0
gpt-4o,leading,400,0,0.0,158,39.5,242,60.5,3.04,3.0,0.92,2.4,2.0,0.5,3.98,4.0,0.8,1.85,2.0,0.74,0,0.0
gpt-4o,neutral,17,17,100.0,0,0.0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,1.0,0.0,0,0.0
gpt-4o,pilot_a,6,0,0.0,3,50.0,3,50.0,3.0,3.0,1.1,2.5,2.5,0.55,3.67,3.5,0.82,2.33,2.5,0.82,0,0.0
gpt-4o,pilot_b,12,12,100.0,0,0.0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,1.0,0.0,0,0.0
gpt-4o,pilot_c,400,272,68.0,102,25.5,26,6.5,1.42,1.0,0.74,1.36,1.0,0.58,4.74,5.0,0.62,1.18,1.0,0.45,0,0.0
