model,framing,threshold_level,n,gate_decline_count,gate_decline_pct,gate_suggest_minor_count,gate_suggest_minor_pct,gate_full_revision_count,gate_full_revision_pct,revision_magnitude_mean,revision_magnitude_median,revision_magnitude_std,revision_value_mean,revision_value_median,revision_value_std,threshold_alignment_mean,threshold_alignment_median,threshold_alignment_std,overcorrection_mean,overcorrection_median,overcorrection_std,high_overcorrection_count,high_overcorrection_pct
claude-sonnet,numeric,0,25,0,0.0,7,28.0,18,72.0,3.76,4.0,1.2,3.44,3.0,0.51,4.72,5.0,0.46,1.72,2.0,0.46,0,0.0
claude-sonnet,numeric,70,25,0,0.0,7,28.0,18,72.0,3.56,4.0,1.04,3.32,3.0,0.63,5.0,5.0,0.0,1.64,2.0,0.49,0,0.0
claude-sonnet,numeric,75,25,0,0.0,8,32.0,17,68.0,3.44,4.0,1.08,3.16,3.0,0.69,4.92,5.0,0.28,1.76,2.0,0.44,0,0.0
claude-sonnet,numeric,80,25,0,0.0,9,36.0,16,64.0,3.4,4.0,1.15,3.24,3.0,0.72,4.96,5.0,0.2,1.6,2.0,0.5,0,0.0
claude-sonnet,numeric,85,25,0,0.0,8,32.0,17,68.0,3.52,4.0,1.12,3.32,3.0,0.69,4.96,5.0,0.2,1.68,2.0,0.48,0,0.0
claude-sonnet,numeric,90,25,0,0.0,8,32.0,17,68.0,3.4,4.0,1.04,3.24,3.0,0.52,4.76,5.0,0.44,1.64,2.0,0.49,0,0.0
claude-sonnet,numeric,95,25,0,0.0,11,44.0,14,56.0,3.24,4.0,1.2,3.32,3.0,0.63,4.84,5.0,0.37,1.56,2.0,0.51,0,0.0
claude-sonnet,numeric,100,25,0,0.0,6,24.0,19,76.0,3.8,4.0,1.12,3.88,4.0,0.73,4.72,5.0,0.46,1.44,1.0,0.51,0,0.0
claude-sonnet,qualitative,0,25,0,0.0,6,24.0,19,76.0,3.76,4.0,1.09,3.56,4.0,0.51,4.84,5.0,0.37,1.6,2.0,0.5,0,0.0
claude-sonnet,qualitative,70,25,0,0.0,14,56.0,11,44.0,3.08,2.0,1.29,2.96,3.0,0.84,4.92,5.0,0.28,1.56,2.0,0.51,0,0.0
claude-sonnet,qualitative,75,25,0,0.0,14,56.0,11,44.0,2.96,2.0,1.14,3.04,3.0,0.68,4.92,5.0,0.28,1.72,2.0,0.46,0,0.0
claude-sonnet,qualitative,80,25,0,0.0,14,56.0,11,44.0,2.96,2.0,1.14,3.16,3.0,0.69,4.84,5.0,0.37,1.56,2.0,0.51,0,0.0
claude-sonnet,qualitative,85,25,0,0.0,9,36.0,16,64.0,3.36,4.0,1.08,3.28,3.0,0.61,4.6,5.0,0.5,1.84,2.0,0.62,0,0.0
claude-sonnet,qualitative,90,25,0,0.0,6,24.0,19,76.0,3.56,4.0,0.96,3.68,4.0,0.56,4.84,5.0,0.37,1.6,2.0,0.5,0,0.0
claude-sonnet,qualitative,95,25,0,0.0,10,40.0,15,60.0,3.2,4.0,1.0,3.4,4.0,0.71,4.64,5.0,0.49,1.84,2.0,0.37,0,0.0
claude-sonnet,qualitative,100,25,0,0.0,7,28.0,18,72.0,3.6,4.0,1.08,3.76,4.0,0.78,4.56,5.0,0.51,1.64,2.0,0.49,0,0.0
gemini-flash,numeric,0,25,0,0.0,6,24.0,19,76.0,4.12,5.0,1.27,3.36,4.0,0.76,4.76,5.0,0.44,1.96,2.0,0.35,0,0.0
gemini-flash,numeric,70,25,0,0.0,7,28.0,18,72.0,3.76,4.0,1.2,3.28,3.0,0.74,4.96,5.0,0.2,1.88,2.0,0.44,0,0.0
gemini-flash,numeric,75,25,0,0.0,10,40.0,15,60.0,3.36,4.0,1.19,3.2,3.0,0.65,4.96,5.0,0.2,1.92,2.0,0.4,0,0.0
gemini-flash,numeric,80,25,0,0.0,11,44.0,14,56.0,3.44,4.0,1.36,3.32,4.0,0.8,5.0,5.0,0.0,1.88,2.0,0.33,0,0.0
gemini-flash,numeric,85,25,0,0.0,10,40.0,15,60.0,3.44,4.0,1.26,3.4,3.0,0.65,5.0,5.0,0.0,1.84,2.0,0.37,0,0.0
gemini-flash,numeric,90,25,0,0.0,11,44.0,14,56.0,3.32,4.0,1.25,3.2,3.0,0.87,5.0,5.0,0.0,1.72,2.0,0.46,0,0.0
gemini-flash,numeric,95,25,0,0.0,11,44.0,14,56.0,3.36,4.0,1.29,2.96,3.0,0.73,4.84,5.0,0.37,2.0,2.0,0.41,0,0.0
gemini-flash,numeric,100,25,0,0.0,11,44.0,14,56.0,3.24,4.0,1.16,3.44,4.0,0.82,4.88,5.0,0.33,1.76,2.0,0.44,0,0.0
gemini-flash,qualitative,0,25,0,0.0,8,32.0,17,68.0,3.64,4.0,1.22,3.32,4.0,0.8,4.84,5.0,0.37,1.76,2.0,0.44,0,0.0
gemini-flash,qualitative,70,25,0,0.0,12,48.0,13,52.0,3.32,3.0,1.38,2.8,3.0,0.76,4.8,5.0,0.41,2.2,2.0,0.41,0,0.0
gemini-flash,qualitative,75,25,0,0.0,9,36.0,16,64.0,3.56,4.0,1.26,3.08,3.0,0.81,4.92,5.0,0.28,1.88,2.0,0.33,0,0.0
gemini-flash,qualitative,80,25,0,0.0,10,40.0,15,60.0,3.52,4.0,1.33,3.16,3.0,0.75,4.68,5.0,0.48,2.08,2.0,0.49,0,0.0
gemini-flash,qualitative,85,25,0,0.0,7,28.0,18,72.0,3.6,4.0,1.15,3.12,3.0,0.78,4.6,5.0,0.5,1.96,2.0,0.54,0,0.0
gemini-flash,qualitative,90,25,0,0.0,5,20.0,20,80.0,3.92,4.0,1.12,3.68,4.0,0.48,4.88,5.0,0.33,2.0,2.0,0.0,0,0.0
gemini-flash,qualitative,95,25,3,12.0,10,40.0,12,48.0,2.8,2.0,1.22,2.76,3.0,1.01,4.88,5.0,0.33,1.76,2.0,0.44,0,0.0
gemini-flash,qualitative,100,25,3,12.0,15,60.0,7,28.0,2.56,2.0,1.26,2.72,2.0,1.17,4.68,5.0,0.48,1.48,1.0,0.51,0,0.0
gpt-4o,numeric,0,25,0,0.0,9,36.0,16,64.0,3.24,4.0,0.97,2.64,3.0,0.49,4.4,4.0,0.5,1.6,2.0,0.5,0,0.0
gpt-4o,numeric,70,25,0,0.0,9,36.0,16,64.0,3.28,4.0,0.98,2.6,3.0,0.5,4.96,5.0,0.2,1.64,2.0,0.49,0,0.0
gpt-4o,numeric,75,25,0,0.0,9,36.0,16,64.0,3.28,4.0,0.98,2.6,3.0,0.5,4.88,5.0,0.33,1.6,2.0,0.5,0,0.0
gpt-4o,numeric,80,25,0,0.0,9,36.0,16,64.0,3.28,4.0,1.06,2.6,3.0,0.5,4.84,5.0,0.37,1.6,2.0,0.5,0,0.0
gpt-4o,numeric,85,25,0,0.0,10,40.0,15,60.0,3.24,4.0,1.05,2.6,3.0,0.5,4.8,5.0,0.41,1.64,2.0,0.49,0,0.0
gpt-4o,numeric,90,25,0,0.0,10,40.0,15,60.0,3.2,4.0,1.04,2.48,2.0,0.51,4.64,5.0,0.49,1.64,2.0,0.57,0,0.0
gpt-4o,numeric,95,25,0,0.0,11,44.0,14,56.0,3.12,4.0,1.01,2.52,3.0,0.51,4.56,5.0,0.51,1.56,2.0,0.51,0,0.0
gpt-4o,numeric,100,25,0,0.0,7,28.0,18,72.0,3.44,4.0,0.92,2.76,3.0,0.52,4.04,4.0,0.2,1.68,2.0,0.48,0,0.0
gpt-4o,qualitative,0,25,0,0.0,8,32.0,17,68.0,3.36,4.0,0.99,2.68,3.0,0.48,4.4,4.0,0.5,1.68,2.0,0.48,0,0.0
gpt-4o,qualitative,70,25,0,0.0,8,32.0,17,68.0,3.36,4.0,0.99,2.48,2.0,0.51,4.92,5.0,0.28,1.76,2.0,0.52,0,0.0
gpt-4o,qualitative,75,25,0,0.0,9,36.0,16,64.0,3.28,4.0,0.98,2.56,3.0,0.51,4.72,5.0,0.46,1.6,2.0,0.5,0,0.0
gpt-4o,qualitative,80,25,0,0.0,10,40.0,15,60.0,3.24,4.0,1.05,2.6,3.0,0.5,4.48,4.0,0.51,1.6,2.0,0.5,0,0.0
gpt-4o,qualitative,85,25,0,0.0,10,40.0,15,60.0,3.2,4.0,1.0,2.6,3.0,0.5,4.4,4.0,0.5,1.72,2.0,0.61,0,0.0
gpt-4o,qualitative,90,25,0,0.0,9,36.0,16,64.0,3.28,4.0,0.98,2.68,3.0,0.56,4.68,5.0,0.48,1.64,2.0,0.49,0,0.0
gpt-4o,qualitative,95,25,0,0.0,12,48.0,13,52.0,3.04,3.0,1.06,2.44,2.0,0.51,4.12,4.0,0.33,1.68,2.0,0.48,0,0.0
gpt-4o,qualitative,100,25,0,0.0,8,32.0,17,68.0,3.36,4.0,0.99,2.68,3.0,0.56,3.92,4.0,0.4,1.72,2.0,0.46,0,0.0
